HolderAddress,Balance
0x3e02434758f39005079213788536220c204e43be,30595
0x3f0e186fdff34c97725bb58798d18b6d08baf7c6,30595
0x40ac54cdaa0faaf7dfe6ce8f2a14a0802360cf8e,30595
0x4df9608f8321be63ee9fe02a756f4ca22291604c,30595
0x4f0bd16afe808fd753ec06a27cf50a0730b2336f,30595
0x4f48f47ba7c558eef269df92e4b0859e6b139b04,30595
0x50b2f4f5a80c9e616458306622b6caa4e45ce269,30595
0x50f28226ce22ad033e243333317259b0e3dde921,30595
0x54dad774271d513a630ad68c2e0fb8e97bc51f48,30595
0x551aabda2f4fbdb104033566ee601ff7d4ef7ccb,30595
0x5a6ea21af3b9c27b24ed297259e86ca680298fed,30595
0x5c93b37ac060e6fbbcc607dbe6793253c446c343,30595
0x5e2e4640035553c4b0f0ee6e8119ba5e83c47d28,30595
0x5f236a100c076d1bac5bb4e9a4c37bd2eed61489,30595
0x63668820640ac22613b1cb908c2486d9e17389ef,30595
0x63d336482007296ff3206e7084c191c5b24897d9,30595
0x67e10a4ab5f92ffcf344d98abce0d136ae869eeb,30595
0x696ad517d92317f8bf4627e3dd37521822e164f7,30595
0x7004e54699afc1eb9ad6532e0e9be50a41d969f1,30595
0x72dd8d7b9eaa252d4f68743635cb529bef60c346,30595
0x799a492dc6c85008f002103cec24d471db2e9f64,30595
0x7bb62ec4c8bfd95ffca2f0f9f4887a1914b06d4b,30595
0x7f49d7b1b4d44244e5ea029493a1983fd67e88f6,30595
0x801d42fc0b6cd1370d21240f5f0cf028d447f02b,30595
0x8291f8274a2ebd0ab599ffb7eabd0af7238efe84,30595
0x83f1c1b8519eb1223439098f84a104e32ae97c98,30595
0x84da029b8e91f1220fdc276c0ab56c176632b7b9,30595
0x84fd70f1d778978c34dd9c62576c23dc4a7dfb13,30595
0x853ba10d0831c45a9b832508c10a926757c91115,30595
0x8541aed11dbc5abda6cd274eab59b8eb6b306eca,30595
0x880f7149986b03d85f11295a9431f32872953167,30595
0x8812b3adf6983cc5a8974d749f3ff224334eb55d,30595
0x8865508fdb5c77a7e59afb7ab0bd6d1e22f4d471,30595
0x8b8a356c590ba0b9b6a1b419d61e39547f008853,30595
0x8e01dea3a6e8c5c760472791174930865c603316,30595
0x8e80ce01ceb4357faa6f6471dc2e6e722d877b42,30595
0x8fdb7e28be1d204faea76e202f1e031dfddd7e16,30595
0x90bc662dc6496fc0fe06c96604150ff8ace743e2,30595
0x90ff73598dd538a0725e18e1e4c21ce8bde63f8d,30595
0x953093c63ac599a7451692498cafc93a8b68ad4e,30595
0x984de2ebdd8b3eed78d543404aacb7eed836798d,30595
0x99b81619c729112925986ed7dc84f62e8f1eb9da,30595
0x9b95d2c476895b999839c65a44fc3f2ecf72e7da,30595
0x9cbc783f557b8e0156dd670023b3eb4b596ccea6,30595
0x9fce9b8f6e4c0e7faf68ba3583da9b07c5e74d53,30595
0xa2f7444a172b8cb506f9861f7a60ba6f4cf9af53,30595
0xa743f055f74507e89c49ffcc133de21570a0f9de,30595
0xabe9f1b4e47a8e11f3bc98f43e991a179f4f3455,30595
0xac66790bfe9d11dacd654c2d32a34d89354f5a68,30595
0xacc2fe2afbe02f165208ad7c534d0c818583a72a,30595
0xaf0688228e24d6890f4b91200f9b8e06069ab032,30595
0xb7ad01aa518e1ee62c69c3b7e67d7fe9cfcf0d5b,30595
0xb98a9476c73ffd4f3d7ac6edcb9d1d2bf6ce59f3,30595
0xba794daa449ce52019956d7fe1ca49d14f09de65,30595
0xbe7aae83f062eaa474b01b0d7b0bbbfe36288e39,30595
0xc03e1522b43e12a6f84e09375b54f77b27252b30,30595
0xc2ac77ec4dafc4afc447149bb8fca0d058f5f9e4,30595
0xca9c63b3762f6e52cd7442134b33a83bd7a8b23e,30595
0xceea4cd8516acbccd40d2057395bd99e1ca091f4,30595
0xd1af3b12245b3cea15d73a359e447dbc8394628c,30595
0xd372a9ae011f0dfcfd8385e81f9662c62bc27fc3,30595
0xd4ad17b6494a31997088c76fb0d531bbb4c18a83,30595
0xd57b6ea3dec7a79601af3b5641d71e39a228e7b3,30595
0xe6c27689ce4f522c59c49503a322a93ece5072d7,30595
0xe773ccd24023bebe98b98cedfbf8c59c4b51b9d0,30595
0xe85fada556138a36e1b6561617afdb236d0fcb79,30595
0xe936657d61416d7a4458ee9672aa379c08584e2f,30595
0xea5ab402e1f555d77855f9590d9706a265003855,30595
0xf18352e03e5d1a046a2aeace06d0492ed5d5082c,30595
0xf3b95667700b321751bab73335fa1f9ae9b5dd95,30595
0xf4d3691c930c007330e1d761942bde2131ed0a6d,30595
0xfb50980d41eb0a1271b5098d29e0b2ce22a89d48,30595
0xfcbd4344f954443851a0c3a241246fa31376c962,30595
0xff9037725f642f9cb790196b6a32c4180e0d239b,30595
0x44880f71dea60e73db90dbfc89651860a9a32e44,3797.675227
0xedec232f3e05391d4045e5741cd3437fcdeeb88e,109.3349483
0x1faa5715c11c9bad8f0f2a238dec3c835689144c,85.75674814
0x0db40190f8bd23674510b3f0732034c889ec42d5,44.09590821
0xb2a15e23075147edd1984c5f4d6f3eb2b1fe616a,3.83472028
